Source,Plotpy,API changes
guiqwt.cross_section.get_object_coordinates,plotpy.gui.widgets.cross_section.get_object_coordinates
guiqwt.image.XYImageItem,plotpy.gui.widgets.items.image.XYImageItem,see `Renamed PlotItems fields`_"
guiqwt.pyplot.legend,plotpy.gui.widgets.pyplot.legend
guiqwt.curve.norm2,plotpy.gui.widgets.items.curve.norm2
guiqwt.annotations.AnnotatedCircle,plotpy.gui.widgets.items.annotations.AnnotatedCircle
guiqwt.events.PanHandler,plotpy.gui.widgets.events.PanHandler
guiqwt.cross_section.YCrossSectionPlot,plotpy.gui.widgets.cross_section.YCrossSectionPlot
guiqwt.geometry.vector_angle,plotpy.gui.widgets.geometry.vector_angle
guiqwt.io._import_dcm,plotpy.gui.widgets.io._import_dcm
guiqwt.styles.LegendParam_MS,plotpy.gui.widgets.styles.LegendParam_MS
guiqwt.interfaces.IPlotManager,plotpy.gui.widgets.interfaces.IPlotManager
guiqwt.qtdesigner.Form,plotpy.gui.widgets.qtdesigner.Form
guiqwt.pyplot.savefig,plotpy.gui.widgets.pyplot.savefig
guiqwt.label.SelectedLegendBoxItem,plotpy.gui.widgets.items.label.SelectedLegendBoxItem
guiqwt.tools.InteractiveTool,plotpy.gui.widgets.tools.InteractiveTool
guiqwt.tools.EditItemDataTool,plotpy.gui.widgets.tools.EditItemDataTool
guiqwt.cross_section.CrossSectionItem,plotpy.gui.widgets.cross_section.CrossSectionItem
guiqwt.tools.DeleteItemTool,plotpy.gui.widgets.tools.DeleteItemTool
guiqwt.styles.LabelParam_MS,plotpy.gui.widgets.styles.LabelParam_MS
guiqwt.tools.AnnotatedPointTool,plotpy.gui.widgets.tools.AnnotatedPointTool
guiqwt.styles.TextStyleItemWidget,plotpy.gui.widgets.styles.TextStyleItemWidget
guiqwt.histogram.HistogramItem,plotpy.gui.widgets.histogram.HistogramItem
guiqwt.qthelpers.exec_images_open_dialog,plotpy.gui.widgets.qthelpers.exec_images_open_dialog
guiqwt.styles.AxisParam,plotpy.gui.widgets.styles.AxisParam
guiqwt.styles.AxesParam,plotpy.gui.widgets.styles.AxesParam
guiqwt.plot.PlotManager,plotpy.gui.widgets.plot.PlotManager
guiqwt.debug.evt_type_to_str,plotpy.gui.widgets.debug.evt_type_to_str
guiqwt.scaler.resize,plotpy.gui.widgets.scaler.resize
guiqwt.geometry.compute_center,plotpy.gui.widgets.geometry.compute_center
guiqwt.image.MaskedImageItem,plotpy.gui.widgets.items.image.MaskedImageItem,see `Renamed PlotItems fields`_"
guiqwt.curve.seg_dist,plotpy.gui.widgets.items.curve.seg_dist
guiqwt.label.LegendBoxItem,plotpy.gui.widgets.items.label.LegendBoxItem
guiqwt.tools.RectZoomTool,plotpy.gui.widgets.tools.RectZoomTool
